M78,B1,SE1,15/10/2017,,T10,T5,3,0,H,2,0,H
M79,B1,SE1,15/10/2017,,T4,T2,2,3,A,2,2,D
M80,B1,SE1,15/10/2017,,T11,T6,3,1,H,3,1,H
M81,B1,SE1,20/10/2017,,T14,T11,1,3,A,0,1,A
M82,B1,SE1,21/10/2017,,T16,T12,4,1,H,3,1,H
M83,B1,SE1,21/10/2017,,T6,T7,1,1,D,0,0,D
M84,B1,SE1,21/10/2017,,T266,T9,1,1,D,1,0,H
M85,B1,SE1,21/10/2017,,T15,T4,1,0,H,0,0,D
M86,B1,SE1,22/10/2017,,T1,T13,0,1,A,0,0,D
M87,B1,SE1,22/10/2017,,T2,T10,1,0,H,1,0,H
M88,B1,SE1,22/10/2017,,T5,T8,2,5,A,1,2,A
M89,B1,SE1,24/10/2017,,T7,T16,3,0,H,3,0,H
M90,B1,SE1,24/10/2017,,T12,T266,0,2,A,0,1,A
M91,B1,SE1,24/10/2017,,T4,T9,3,0,H,1,0,H
M92,B1,SE1,25/10/2017,,T1,T5,2,0,H,0,0,D
M93,B1,SE1,25/10/2017,,T13,T2,2,0,H,1,0,H
M94,B1,SE1,25/10/2017,,T8,T6,2,1,H,0,0,D
M95,B1,SE1,26/10/2017,,T10,T11,0,0,D,0,0,D
M96,B1,SE1,26/10/2017,,T15,T14,1,0,H,0,0,D
M97,B1,SE1,27/10/2017,,T9,T7,2,1,H,1,0,H
M98,B1,SE1,28/10/2017,,T16,T1,2,3,A,0,3,A
M99,B1,SE1,28/10/2017,,T6,T13,0,0,D,0,0,D
M100,B1,SE1,28/10/2017,,T266,T4,0,3,A,0,2,A
M101,B1,SE1,28/10/2017,,T5,T12,2,1,H,1,1,D
M102,B1,SE1,29/10/2017,,T2,T15,4,1,H,2,1,H
M103,B1,SE1,29/10/2017,,T14,T10,2,2,D,1,0,H
M104,B1,SE1,29/10/2017,,T11,T8,3,1,H,3,0,H
M105,B1,SE1,03/11/2017,,T7,T11,1,0,H,0,0,D
M106,B1,SE1,04/11/2017,,T13,T266,0,0,D,0,0,D
M107,B1,SE1,04/11/2017,,T12,T6,2,0,H,0,0,D
M108,B1,SE1,04/11/2017,,T15,T16,4,4,D,1,0,H
M109,B1,SE1,04/11/2017,,T8,T14,2,0,H,1,0,H
M110,B1,SE1,05/11/2017,,T1,T2,0,0,D,0,0,D
M111,B1,SE1,05/11/2017,,T10,T9,1,3,A,1,2,A
M112,B1,SE1,05/11/2017,,T4,T5,4,2,H,2,0,H
M113,B1,SE1,17/11/2017,,T9,T12,2,0,H,1,0,H
M114,B1,SE1,18/11/2017,,T16,T10,0,1,A,0,0,D
M115,B1,SE1,18/11/2017,,T6,T15,3,2,H,1,0,H
M116,B1,SE1,18/11/2017,,T14,T1,1,2,A,0,1,A
M117,B1,SE1,18/11/2017,,T11,T4,0,0,D,0,0,D
M118,B1,SE1,19/11/2017,,T2,T8,3,0,H,1,0,H
M119,B1,SE1,19/11/2017,,T266,T7,0,3,A,0,1,A
M120,B1,SE1,19/11/2017,,T5,T13,0,1,A,0,1,A
M121,B1,SE1,24/11/2017,,T7,T14,3,1,H,2,1,H
M122,B1,SE1,25/11/2017,,T10,T12,0,0,D,0,0,D
M123,B1,SE1,25/11/2017,,T4,T16,1,0,H,0,0,D
M124,B1,SE1,25/11/2017,,T15,T266,0,0,D,0,0,D
M125,B1,SE1,25/11/2017,,T8,T9,0,2,A,0,0,D
M126,B1,SE1,26/11/2017,,T1,T6,4,0,H,2,0,H
M127,B1,SE1,26/11/2017,,T2,T5,3,2,H,0,1,A
M128,B1,SE1,26/11/2017,,T13,T11,0,2,A,0,1,A
M129,B1,SE1,01/12/2017,,T9,T4,1,1,D,1,0,H
M130,B1,SE1,02/12/2017,,T6,T8,4,1,H,2,0,H
M131,B1,SE1,02/12/2017,,T266,T1,1,2,A,1,1,D
M132,B1,SE1,02/12/2017,,T12,T13,3,2,H,3,0,H
M133,B1,SE1,02/12/2017,,T14,T15,1,1,D,1,1,D
M134,B1,SE1,03/12/2017,,T16,T2,2,2,D,2,0,H
M135,B1,SE1,03/12/2017,,T11,T10,1,1,D,1,0,H
M136,B1,SE1,03/12/2017,,T5,T7,0,1,A,0,1,A
M137,B1,SE1,08/12/2017,,T8,T11,3,1,H,1,1,D
M138,B1,SE1,09/12/2017,,T10,T14,1,0,H,0,0,D
M139,B1,SE1,09/12/2017,,T13,T16,1,1,D,1,1,D
M140,B1,SE1,09/12/2017,,T7,T6,2,1,H,2,1,H
M141,B1,SE1,09/12/2017,,T4,T12,0,1,A,0,1,A
