T160,e075,AS Saint-Étienne,Saint-Étienne
T161,e076,Nîmes Olympique,Nîmes
T162,e077,Amiens SC,Amiens
T163,e078,FC Toulouse,Toulouse
T164,e248,FC Lorient,Lorient
T165,e245,RC Lens,Lens
T166,e250,AC Ajaccio,AC Ajaccio
T167,e246,ES Troyes AC,Troyes
T168,e258,Clermont Foot 63,Clermont
T169,e251,Le Havre,Le Havre
T170,e259,Valenciennes FC,Valenciennes
T171,e247,EA Guingamp,Guingamp
T172,e255,Grenoble,Grenoble
T173,e263,FC Chambly Oise,Chambly
T174,e244,AJ Auxerre,Auxerre
T175,e257,Nancy,Nancy
T176,e254,Caen,Caen
T177,e249,FC Sochaux,Sochaux
T178,e253,Châteauroux,Châteauroux
T179,e262,Rodez AF,Rodez
T180,e260,Paris FC,Paris FC
T181,e252,Chamois Niortais,Chamois
T182,e256,Le Mans FC,Le Mans
T183,e261,US Orléans,Orléans
T184,e099,Juventus,Juventus
T185,e108,Lazio,Lazio
T186,e107,Inter,Inter
T187,e098,Atalanta,Atalanta
T188,e110,Roma,Roma
T189,e113,Napoli,Napoli
T190,e103,AC Milan,Milan
T191,e109,Hellas Verona,Verona
T192,e101,Parma Calcio,Parma
T193,e097,Bologna FC,Bologna
T194,e115,US Sassuolo,Sassuolo
T195,e114,Cagliari,Cagliari
T196,e104,AC Fiorentina,Fiorentina
T197,e105,Udinese,Udinese
T198,e106,Torino FC,Torino
T199,e111,Sampdoria,Sampdoria
T200,e112,Genoa,Genoa
T201,e100,US Lecce,Lecce
T202,e116,Sociedad Polideportiva Ars et Labor,SPAL
T203,e102,Brescia FC,Brescia
T204,e276,Benevento,Benevento
T205,e272,FC Crotone,Crotone
T206,e278,Frosinone,Frosinone
T207,e283,Pordenone,Pordenone
T208,e274,Spezia,Spezia
T209,e271,AS Cittadella,Cittadella
T210,e269,Salernitana,Salernitana
T211,e265,ChievoVerona,Chievo
T212,e267,Empoli FC,Empoli
T213,e281,Virtus Entella,Entella
T214,e275,Pisa,Pisa
T215,e266,AC Perugia,Perugia
T216,e279,Juve Stabia,Juve Stabia
T217,e280,Pescara,Pescara
T218,e268,Ascoli,Ascoli
T219,e264,Venezia,Venezia
T220,e277,US Cremonese,Cremonese
T221,e282,Trapani,Trapani
T222,e270,Cosenza,Cosenza
T223,e273,AS Livorno,Livorno
T224,e028,FC Barcelona,Barcelona
T225,e029,Real Madrid CF,Real Madrid
T226,e030,Sevilla FC,Sevilla
T227,e021,Real Sociedad SAD,Real Sociedad
T228,e022,Getafe CF,Getafe
T229,e023,Atlético Madrid,Atl Madrid
T230,e024,Valencia CF,Valencia
T231,e025,Villarreal CF,Villarreal
T232,e026,Granada CF,Granada
T233,e027,Athletic Club Bilbao,Athletic Bilbao
T234,e031,CA Osasuna,Osasuna
T235,e032,Real Betis,Betis
T236,e033,Levante UD,Levante
T237,e034,Deportivo Alavés,Alavés
T238,e035,Real Valladolid,Valladolid
T239,e036,SD Eibar,Eibar
T240,e037,Celta Vigo,Celta
T241,e038,RCD Mallorca,Mallorca
T242,e039,CD Leganés,Leganés
T243,e040,RCD Espanyol,Espanyol
T244,e129,Cádiz CF,Cádiz
T245,e117,Real Zaragoza,Zaragoza
T246,e128,UD Almería,Almería
T247,e133,SD Huesca,Huesca
T248,e132,Girona FC,Girona
T249,e123,Elche CF,Elche
T250,e136,CD Mirandés,Mirandés
T251,e126,Sporting Gijón,Sporting
T252,e134,AD Alcorcón,Alcorcón
T253,e130,SD Ponferradina,Ponferradina
T254,e118,Rayo Vallecano,Rayo Vallecano
T255,e119,CD Tenerife,Tenerife
T256,e137,CF Fuenlabrada,Fuenlabrada
T257,e131,UD Las Palmas,Las Palmas
T258,e120,Málaga CF,Málaga
T259,e127,CD Numancia,Numancia
T260,e125,Real Oviedo,Real Oviedo
T261,e124,Albacete Balompié,Albacete
T262,e121,Deportivo La Coruña,Deportivo
T263,e135,CD Lugo,Lugo
T264,e138,Extremadura UD,Extremadura
T265,e122,Racing de Santander,Racing
T266,e284,KSC Lokeren,Lokeren
T267,e285,Ingolstadt,Ingolstadt
T268,e286,MSV Duisburg,Duisburg
T269,e287,1. FC Kaiserslautern,Kaiserslautern
T270,e288,Eintracht Braunschweig,Braunschweig
T271,e289,Magdeburg,Magdeburg
T272,e290,Bury,Bury
T273,e291,Chesterfield,Chesterfield
T274,e292,Notts County,Notts County
T275,e293,Barnet,Barnet
T276,e294,Yeovil Town,Yeovil
T277,e295,Bourg-en-Bresse,FBBP
T278,e296,Tours,Tours
T279,e297,GFC Ajaccio,GFC Ajaccio
T280,e298,Quevilly-Rouen Métropole,Quevilly-Rouen
T281,e299,AS Béziers,Béziers
T282,e300,Red Star,Red Star
T283,e301,Avellino,Avellino
T284,e302,Carpi,Carpi
T285,e303,Novara,Novara
T286,e304,Palermo,Palermo
T287,e305,Pro Vercelli,Pro Vercelli
T288,e306,Ternana,Ternana
T289,e307,Foggia,Foggia
T290,e308,Bari,Bari
T291,e309,Cesena,Cesena
T292,e310,Padova,Padova
T293,e311,Lorca FC,Lorca
T294,e312,Cultural Leonesa,C. Leonesa
T295,e313,Córdoba,Córdoba
T296,e028,Barcelona B,Barcelona B
T297,e314,Sevilla Atlético,Sevilla Atlético
T298,e315,Gimnàstic de Tarragona,Gimnàstic de Tarragona
T299,e316,Reus Deportiu,Reus
T300,e317,Rayo Majadahonda,Rayo Majadahonda
