S123,M62,Charleroi,8,4,4,,2,0
S124,M62,Club Brugge,10,6,5,,4,0
S125,M63,Gent,8,4,7,,4,0
S126,M63,Waregem,3,1,3,,2,0
S127,M64,Standard,20,8,5,,2,1
S128,M64,Lokeren,2,2,3,,5,1
S129,M65,St Truiden,14,6,5,,2,0
S130,M65,Charleroi,9,4,5,,3,0
S131,M66,Eupen,10,6,4,,2,0
S132,M66,Genk,10,5,3,,2,0
S133,M67,Kortrijk,13,7,13,,1,1
S134,M67,Oostende,10,8,4,,1,0
S135,M68,Mouscron,6,2,0,,3,0
S136,M68,Mechelen,15,9,9,,3,0
S137,M69,Waasland-Beveren,11,5,3,,2,0
S138,M69,Antwerp,15,8,3,,1,0
S139,M70,Anderlecht,14,6,4,,2,0
S140,M70,Standard,7,0,3,,1,0
S141,M71,Club Brugge,15,6,4,,2,0
S142,M71,Gent,4,2,5,,1,0
S143,M72,Waregem,21,11,11,,1,0
S144,M72,Lokeren,10,4,1,,0,0
S145,M73,Mechelen,10,4,6,,1,0
S146,M73,Anderlecht,7,4,3,,4,0
S147,M74,Charleroi,8,6,8,,2,0
S148,M74,Eupen,5,3,4,,5,0
S149,M75,Genk,18,3,20,,2,0
S150,M75,Mouscron,4,4,2,,3,0
S151,M76,Gent,12,6,7,,2,0
S152,M76,Waasland-Beveren,5,0,1,,2,1
S153,M77,Lokeren,13,6,11,,1,0
S154,M77,St Truiden,9,7,2,,5,1
S155,M78,Antwerp,6,2,3,,2,0
S156,M78,Waregem,5,2,5,,3,1
S157,M79,Oostende,11,4,4,,4,0
S158,M79,Club Brugge,11,7,4,,3,1
S159,M80,Standard,9,3,4,,3,1
S160,M80,Kortrijk,3,1,4,,3,1
S161,M81,Mouscron,9,4,3,,2,0
S162,M81,Standard,12,6,2,,3,0
S163,M82,Eupen,13,8,6,,4,0
S164,M82,Mechelen,13,8,8,,2,0
S165,M83,Kortrijk,6,4,3,,3,0
S166,M83,Gent,15,5,11,,2,0
S167,M84,Lokeren,6,3,1,,1,0
S168,M84,Charleroi,14,7,5,,0,0
S169,M85,St Truiden,15,6,2,,1,0
S170,M85,Oostende,11,5,5,,4,0
S171,M86,Anderlecht,5,2,8,,4,0
S172,M86,Genk,8,1,4,,2,0
S173,M87,Club Brugge,10,2,5,,2,0
S174,M87,Antwerp,8,4,3,,5,0
S175,M88,Waregem,9,4,11,,1,0
S176,M88,Waasland-Beveren,11,7,2,,1,0
S177,M89,Gent,9,6,4,,4,0
S178,M89,Eupen,7,2,2,,4,0
S179,M90,Mechelen,14,4,15,,3,0
S180,M90,Lokeren,5,3,3,,4,0
S181,M91,Oostende,9,8,3,,1,0
S182,M91,Charleroi,13,5,7,,2,0
S183,M92,Anderlecht,13,7,7,,1,0
S184,M92,Waregem,7,2,3,,1,0
S185,M93,Genk,9,2,3,,3,0
S186,M93,Club Brugge,4,2,3,,1,0
S187,M94,Waasland-Beveren,20,10,12,,1,0
S188,M94,Kortrijk,7,3,4,,4,0
S189,M95,Antwerp,8,4,7,,3,0
S190,M95,Standard,5,5,3,,2,0
S191,M96,St Truiden,12,2,9,,0,0
S192,M96,Mouscron,2,0,1,,5,0
S193,M97,Charleroi,8,5,3,,3,0
S194,M97,Gent,6,2,6,,3,0
S195,M98,Eupen,15,8,6,,3,0
S196,M98,Anderlecht,5,2,4,,0,0
S197,M99,Kortrijk,10,5,5,,3,0
S198,M99,Genk,9,2,7,,1,0
S199,M100,Lokeren,10,3,5,,0,0
S200,M100,Oostende,12,6,7,,2,0
S201,M101,Waregem,12,8,12,,3,0
S202,M101,Mechelen,6,1,1,,1,0
S203,M102,Club Brugge,22,11,5,,2,0
S204,M102,St Truiden,7,4,2,,0,0
S205,M103,Mouscron,10,7,6,,2,0
S206,M103,Antwerp,8,6,10,,2,0
S207,M104,Standard,12,6,5,,1,0
S208,M104,Waasland-Beveren,7,3,4,,4,0
S209,M105,Gent,11,5,10,,2,0
S210,M105,Standard,9,4,5,,2,0
S211,M106,Genk,14,4,4,,3,0
